28,5,26,21.5,12,0,
12,4.2,30,21.5,13,0,
11,2,5.5,38,21.5,15,
12,9,3.9,36,21.5,14,
18,5,4.5,46,21.5,15,
8,3,6.4,50,21.5,10,
7,8,4.4,43,21.5,11,
12,3,5,40,21.5,6,
4,9,6.4,26,21.5,4,
11,9,5.3,30,21.5,9,
12,4,5.6,42,21.5,4,
11,8,4.6,38,21.5,0,
12,3,5.9,59,21.5,10,
24,7,5.1,58,21.5,12,
12,4,4.7,46,21.5,11,
17,3,5.1,24,21.5,5,
33,4,5.6,36,21.5,3,
11,8,5.1,32,21.5,3,
25,9,4.9,39,21.5,8,
11,8,4.7,40,21.5,4,
25,3,5.5,32,21.5,3,
14,2,5.9,38,21.5,1,
17,9,5.7,37,21.5,1,
11,8,4.7,36,21.5,1,
12,3,5.9,62,21.5,6,
12,4,4.1,57,21.5,9,
18,4,5.7,21,22.5,2,
18,4,5.8,28,21.5,3,
18,3,5.5,29,21.5,1,
18,4,5.7,35,21.5,4,
12,3,5.3,51,21.5,11,
11,8,5,29,21.5,10,
12,3,5.6,58,21.5,8,
32,6,4.8,40,21.5,7,
19,4.3,36,21.5,7,0,
12,1,5.7,36,21.5,8,
20,5.2,37,21.5,4,0,
4,9,7.4,26,21.5,6,
11,8,4.8,23,21.5,9,
12,3,6.5,58,21.5,7,
12,4,4,55,21.5,7,
4,5,5,29,21.5,7,
11,7,4.6,37,21.5,6,
10,2,4.3,44,21.5,7,
5,4,3.3,32,21.5,7,
2,9.9,21,21.5,4,0,
14,2,5.1,32,21.5,7,
16,4.9,25,21.5,8,0,
11,8,4.9,25,21.5,11,
27,3,4.7,36,21.5,10,
